ID,KHT_Mean,KHT_Median,KHT_Mode,KHT_Stdev,KIT_F1_Mean,KIT_F1_Median,KIT_F1_Mode,KIT_F1_Stdev,KIT_F2_Mean,KIT_F2_Median,KIT_F2_Mode,KIT_F2_Stdev,KIT_F3_Mean,KIT_F3_Median,KIT_F3_Mode,KIT_F3_Stdev,KIT_F4_Mean,KIT_F4_Median,KIT_F4_Mode,KIT_F4_Stdev, Target
42,202798152027860.62,1864610908928.0,0,285212776221009.2,-202711890309361.62,-1863738267520.0,0,285182066810269.06,463310.2859581733,0.0,0,21648236935617.188,129539173050.40034,146444032.0,152193024,8800811586149.592,202841429945722.3,1864452490880.0,2000017152,285227818165886.2,1
43,767812381366.7528,823105679488.0,0,594157464651.0421,-766893444204.392,-822861651968.0,2404966912,593747679415.927,19302459.432921026,0.0,0,243939417978.17194,1649491283.547098,131297024.0,2404966912,24384266353.847664,768562237947.3721,823027293952.0,2404966912,593806216756.8282,1
44,1236533895476.0417,1217110843008.0,0,748497237099.9043,-1235669427783.8025,-1217172939008.0,0,748315963859.2968,4417853.462976813,0.0,0,305552355549.7668,1789324756.9184742,157676032.0,115764992,19696455154.950146,1237463170394.184,1217070447104.0,4581864192,747890072190.1959,1
45,818947490357.1187,847267275008.0,0,501874917061.76245,-818417886773.3334,-845280541056.0,6837355008,501689882936.9742,17630016.71111111,115671040.0,0,189647146386.35385,1098317118.7555556,178869504.0,130016000,12478614991.919992,819533833908.8,849012116992.0,6837355008,501537007645.0814,1
46,734967423711.0171,558282519552.0,0,607208738422.0526,-734024815142.9137,-557947286016.0,0,606654813640.1963,11720463.740392826,0.0,0,170590860645.50528,1570249408.1639624,197271040.0,2964627968,17771820644.294144,735606785014.8181,558455303168.0,2964627968,607041648464.3057,1
47,1243895717487.2905,1285119683072.0,0,900615887307.7839,-1243043267126.4,-1284891820928.0,1061713920,900286461325.3073,10709398.08,0.0,0,251611007748.69174,1629885184.32,225057536.0,268133888,22576330645.796783,1244683861708.8,1285424333440.0,2524047872,900313704981.5507,1
48,900001636362.127,977378663040.0,0,578095584402.9706,-899610197491.1588,-977254969856.0,119287040,577963230773.6808,2057627.2728946158,0.0,0,125415188140.67975,805433841.6272434,122951168.0,119287040,11945920877.176735,900417688960.059,977464808192.0,637864960,577889714321.3994,1
49,1044122717669.7722,777249896960.0,0,702835605712.3169,-1043487941462.2639,-777197087488.0,159653120,702527933312.8225,13902226.285714285,120986880.0,0,162973558425.823,1204090666.434024,153179008.0,137353984,16740997790.364237,1044705934354.9836,777341150976.0,1341108224,702565215595.4319,1
50,242141664334757.6,1742907330432.0,0,296208844421728.8,-242018763380895.38,-1742827192832.0,403819008,296183089771588.2,10281882.704415234,0.0,0,58846112071795.71,204512569748.57837,145186048.0,78803968,11060637408044.68,242223286232526.66,1743067559936.0,403819008,296225370204430.44,1
51,1209897062327.9502,1205985289472.0,0,753060869454.591,-1209181380569.2412,-1205734423040.0,132903936,753299255009.9977,8701418.148286605,0.0,0,249904664413.35577,1469511704.0847352,145233920.0,100929024,18289060650.120865,1210659593691.474,1206123114752.0,132903936,752631217464.7831,1
52,1582751622517.7205,1280717346048.0,0,1215366934764.6553,-1581693082492.9524,-1280717878016.0,3644375040,1215073159690.6343,3649919.6952380952,0.0,0,321875757476.1016,2000654085.790476,145704064.0,167390976,28364199722.611633,1583697386498.438,1281023355008.0,3644375040,1215093123128.083,1
53,212437791015739.7,521341184000.0,0,215389626630625.9,-212147114151444.72,-521456224896.0,0,215384432344808.3,26161839.5331565,87867904.0,0,73580057122551.23,572424597737.5916,200031488.0,3143138048,15652198780892.205,212719564911021.84,521692097920.0,3143138048,215393242736532.47,1
54,1402980992921.4546,1353725504640.0,0,920499140239.232,-1402343095766.526,-1353649888000.0,0,920265486714.1189,7258499.334912363,0.0,0,257418852251.96646,1302502078.1506395,116670208.0,115784960,21213650961.205357,1403652856344.0115,1353887822080.0,2615799040,920189713498.6425,1
55,895077059796.249,1096118330496.0,0,556082154917.0657,-894597996456.6052,-1096164621056.0,2671995904,555978880057.0022,7528967.48633185,0.0,0,102955268023.17146,1048088806.7743165,141213952.0,151304960,13885739243.374569,895653614230.8658,1096576001024.0,2671995904,555782002403.8544,1
56,1118512269583.3213,1180186352128.0,0,763513562443.4786,-1117779868795.9814,-1179957508608.0,0,763183785301.1302,3105666.827906977,0.0,0,195644325250.87643,1382698618.4930232,161150976.0,101140992,16744562940.5387,1119165673081.3022,1181105887488.0,5127416832,763199884687.274,1
57,488909509989.86896,279845432064.0,0,369232593901.62494,-488660401130.8679,-279733349376.0,0,369186359551.73584,5281916.4981132075,33996032.0,0,99615991678.4919,479726552.39245284,175692416.0,150860032,8359025595.05934,489145409599.7585,279972070016.0,396745984,369136029580.1114,1
58,1408825320964.297,1423742479104.0,0,856176735695.0498,-1408218548871.8455,-1424069483520.0,7126897152,855885495006.7946,3176118.3811922753,0.0,0,248240909972.31662,1198218490.8413098,228246656.0,186011904,17536436757.210155,1409419943481.068,1423809511552.0,7126897152,855823626448.8253,1
59,1307323854290.558,1465839870976.0,0,917101889935.3038,-1306359035572.3213,-1463747528576.0,2565998080,916568256861.3337,11469718.423357664,0.0,0,189458998805.95636,1760027875.3479319,217927936.0,153025024,23732623166.057526,1308130533166.0925,1465796645504.0,2565998080,916785441446.6294,1
60,1559862949716.4663,1445333840128.0,0,1031433114900.276,-1559039281211.4773,-1445157086080.0,0,1031084863534.4058,10852860.15876089,0.0,0,282404448063.9405,1578684453.5450146,192765056.0,271283968,20923368939.256344,1560628818525.181,1445265655680.0,4811716096,1031071951704.919,1
